test_id,query,description,extracted,boleta_formatada,success,duration_ms,error
trigger_226_1226,"Ana: fecha
Rose: fechado
Ana: 100.000 USDT = 555.290 BRL
‎[24/07/25, 10:35:48] Maynard: ‎image omitted
‎[24/07/25, 10:36:32] Maynard: ‎image omitted
Rose: Restante deve vir por agora ? que aí fazemos um envio só
Ana: Estou aguardando justamente o restante.
Ana: 100k
Ana: cotação
Ana: pfvr
Rose: 1s
Ana: quanto?
Rose: 5545
Rose: <PHONE>
Ana: off
Rose: off
‎[24/07/25, 12:05:23] Maynard: ‎image omitted
Ana: Fechou as duas.",,,,False,5,
trigger_241_1241,"Rose: enviando cripto
Pedro: 250.000
Ana: Maravilha.
Ana: Pergunta aqui, alguma expectativa pra API de vocês ficar pronta?
Rose: Ainda sem data definida, mas assim que tivermos nós informamos aqui
Ana: Obrigado!
Ana: 150k
Rose: Um momento
Rose: 5450
Rose: <PHONE>
Ana: 1s
Rose: 5459
Rose: 5455
Ana: fecha",,,,False,4,
trigger_243_1243,"Pedro: 250.000
Ana: Maravilha.
Ana: Pergunta aqui, alguma expectativa pra API de vocês ficar pronta?
Rose: Ainda sem data definida, mas assim que tivermos nós informamos aqui
Ana: Obrigado!
Ana: 150k
Rose: Um momento
Rose: 5450
Rose: <PHONE>
Ana: 1s
Rose: 5459
Rose: 5455
Ana: fecha
Rose: vamos ?
Ana: fecha",,,,False,4,
trigger_244_1244,"Ana: Maravilha.
Ana: Pergunta aqui, alguma expectativa pra API de vocês ficar pronta?
Rose: Ainda sem data definida, mas assim que tivermos nós informamos aqui
Ana: Obrigado!
Ana: 150k
Rose: Um momento
Rose: 5450
Rose: <PHONE>
Ana: 1s
Rose: 5459
Rose: 5455
Ana: fecha
Rose: vamos ?
Ana: fecha
Rose: fechado",,,,False,4,
trigger_254_1254,"Rose: 5455
Ana: fecha
Rose: vamos ?
Ana: fecha
Rose: fechado
Rose: R$831,825.00 // 150.000 USDT
Ana: 100k
Ana: cotação
Rose: 5450
Rose: 5480
Rose: 5500
Rose: 5.5510 ‎<This message was edited>
Rose: <PHONE>
Ana: Consegue baixar um pouco?
Ana: fecha",,,,False,4,
trigger_256_1256,"Rose: vamos ?
Ana: fecha
Rose: fechado
Rose: R$831,825.00 // 150.000 USDT
Ana: 100k
Ana: cotação
Rose: 5450
Rose: 5480
Rose: 5500
Rose: 5.5510 ‎<This message was edited>
Rose: <PHONE>
Ana: Consegue baixar um pouco?
Ana: fecha
Ana: deixa
Bruno: fechado",,,,False,4,
trigger_257_1257,"Ana: fecha
Rose: fechado
Rose: R$831,825.00 // 150.000 USDT
Ana: 100k
Ana: cotação
Rose: 5450
Rose: 5480
Rose: 5500
Rose: 5.5510 ‎<This message was edited>
Rose: <PHONE>
Ana: Consegue baixar um pouco?
Ana: fecha
Ana: deixa
Bruno: fechado
Rose: fechado",,,,False,4,
trigger_258_1258,"Rose: fechado
Rose: R$831,825.00 // 150.000 USDT
Ana: 100k
Ana: cotação
Rose: 5450
Rose: 5480
Rose: 5500
Rose: 5.5510 ‎<This message was edited>
Rose: <PHONE>
Ana: Consegue baixar um pouco?
Ana: fecha
Ana: deixa
Bruno: fechado
Rose: fechado
Rose: fechou, certo ?",,,,False,4,
trigger_260_1260,"Ana: 100k
Ana: cotação
Rose: 5450
Rose: 5480
Rose: 5500
Rose: 5.5510 ‎<This message was edited>
Rose: <PHONE>
Ana: Consegue baixar um pouco?
Ana: fecha
Ana: deixa
Bruno: fechado
Rose: fechado
Rose: fechou, certo ?
Rose: <PHONE>
Ana: Já fechou?",,,,False,4,
trigger_263_1263,"Rose: 5480
Rose: 5500
Rose: 5.5510 ‎<This message was edited>
Rose: <PHONE>
Ana: Consegue baixar um pouco?
Ana: fecha
Ana: deixa
Bruno: fechado
Rose: fechado
Rose: fechou, certo ?
Rose: <PHONE>
Ana: Já fechou?
Rose: já
Ana: ok
Ana: fechado",,,,False,4,
trigger_277_1277,"Ana: fechado
Rose: R$ 555,100.00 // USDT 100.000
Ana: Tô apertando aqui pro cliente ir liquidando.
Pedro: beleza
Pedro: ja temos as moedas aqui
Ana: Grande <PHONE>, lembro quando você teve aquela pneumonia bizarra, achei que você tinha ido de base kkkkk
‎[24/07/25, 15:26:55] Maynard: ‎image omitted
Ana: 84.647,00
Ana: cotação
Ana: por favor
Rose: 5465
Ana: off
Rose: precisa quanto ? talvez consiga aqui
Ana: Foi tempo
Rose: beleza
‎[24/07/25, 15:46:15] Maynard: ‎image omitted
Ana: R$ 555,100.00 // USDT 100.000 - fechada",,,,False,4,
trigger_295_1295,"Ana: Excelente!
Rose: A outra de 150k deve conseguir liquidar por agora ? Que aí fazemos um envio só
Ana: Bom, só tem mais 30 min pra liquidar, deixa eu falar com o cliente.
Rose: Beleza
Ana: 200k
Ana: cotação
Rose: 5489
Rose: vamos ?
Ana: 1s
Ana: off
Rose: off
Rose: Conseguiu lá ?
Ana: Acabei de falar com os clientes. estão zerando tudo.
Rose: blz
‎[24/07/25, 16:25:59] Maynard: ‎image omitted
‎[24/07/25, 16:29:06] Maynard: ‎image omitted
Ana: Fechada",,,,False,4,
trigger_336_1336,"Ana: cota 300k pfvr
Rose: 5490
Ana: 1s
Rose: 5480
Ana: 1s
Ana: off
Rose: off
Rose: qual preço está procurando pra eu tentar aqui ?
Ana: Pensa numa choradeira aqui, pessoal recuou um pouco. Já volta.
Rose: beleza
Ana: 82.629,20
Ana: cotação
Ana: pfvr
Rose: 5810
Ana: fecha",,,,False,5,
trigger_337_1337,"Rose: 5490
Ana: 1s
Rose: 5480
Ana: 1s
Ana: off
Rose: off
Rose: qual preço está procurando pra eu tentar aqui ?
Ana: Pensa numa choradeira aqui, pessoal recuou um pouco. Já volta.
Rose: beleza
Ana: 82.629,20
Ana: cotação
Ana: pfvr
Rose: 5810
Ana: fecha
Pedro: fechado",,,,False,6,
trigger_338_1338,"Ana: 1s
Rose: 5480
Ana: 1s
Ana: off
Rose: off
Rose: qual preço está procurando pra eu tentar aqui ?
Ana: Pensa numa choradeira aqui, pessoal recuou um pouco. Já volta.
Rose: beleza
Ana: 82.629,20
Ana: cotação
Ana: pfvr
Rose: 5810
Ana: fecha
Pedro: fechado
Rose: fechado",,,,False,6,
trigger_358_1358,"Rose: 5830
Ana: 1s
Ana: off
Rose: off
Ana: Pessoal, vocês vendem outros assets via OTC? Mais especificamente TRX e BTC?
Ana: Pessoal?
Pedro: qual seria o volume <PHONE> ?
Ana: Vol de OTC 50k usd, 100k usd, ou mais.
Ana: Cota 50k USDT
Ana: pfvr
Ana: cotação
Rose: opa
Rose: 1s
Rose: 5846
Ana: fecha",,,,False,6,
trigger_359_1359,"Ana: 1s
Ana: off
Rose: off
Ana: Pessoal, vocês vendem outros assets via OTC? Mais especificamente TRX e BTC?
Ana: Pessoal?
Pedro: qual seria o volume <PHONE> ?
Ana: Vol de OTC 50k usd, 100k usd, ou mais.
Ana: Cota 50k USDT
Ana: pfvr
Ana: cotação
Rose: opa
Rose: 1s
Rose: 5846
Ana: fecha
Rose: fechado",,,,False,12,
trigger_373_1373,"Rose: fechado
Rose: R$ 279,230.00 // 50.000 USDT
Ana: 50.000 USDT = 279.230 BRL
Ana: 150k
Ana: cota pfvr
Rose: 1s
Rose: 5858
Rose: <PHONE>
Ana: 1s
Ana: Consegue baixar um pouco?
Rose: consigo aqui 5840
Ana: 1s
Rose: vamos ?
Ana: Negociando
Ana: fecha",,,,False,37,
trigger_374_1374,"Rose: R$ 279,230.00 // 50.000 USDT
Ana: 50.000 USDT = 279.230 BRL
Ana: 150k
Ana: cota pfvr
Rose: 1s
Rose: 5858
Rose: <PHONE>
Ana: 1s
Ana: Consegue baixar um pouco?
Rose: consigo aqui 5840
Ana: 1s
Rose: vamos ?
Ana: Negociando
Ana: fecha
Ana: fecha",,,,False,11,
trigger_375_1375,"Ana: 50.000 USDT = 279.230 BRL
Ana: 150k
Ana: cota pfvr
Rose: 1s
Rose: 5858
Rose: <PHONE>
Ana: 1s
Ana: Consegue baixar um pouco?
Rose: consigo aqui 5840
Ana: 1s
Rose: vamos ?
Ana: Negociando
Ana: fecha
Ana: fecha
Rose: fechado",,,,False,10,
trigger_381_1381,"Ana: 1s
Ana: Consegue baixar um pouco?
Rose: consigo aqui 5840
Ana: 1s
Rose: vamos ?
Ana: Negociando
Ana: fecha
Ana: fecha
Rose: fechado
Rose: R$ 837,600.00 // USDT 150.000
Rose: já consegue liquidar alguma ?
Ana: um momento
Rose: beleza
Ana: Tá vindo, um momento
‎[25/07/25, 16:22:28] Maynard: ‎image omitted
‎[25/07/25, 16:24:39] Maynard: ‎image omitted
‎[25/07/25, 16:26:15] Maynard: ‎image omitted
Ana: Fechado",,,,False,17,
trigger_382_1382,"Ana: Consegue baixar um pouco?
Rose: consigo aqui 5840
Ana: 1s
Rose: vamos ?
Ana: Negociando
Ana: fecha
Ana: fecha
Rose: fechado
Rose: R$ 837,600.00 // USDT 150.000
Rose: já consegue liquidar alguma ?
Ana: um momento
Rose: beleza
Ana: Tá vindo, um momento
‎[25/07/25, 16:22:28] Maynard: ‎image omitted
‎[25/07/25, 16:24:39] Maynard: ‎image omitted
‎[25/07/25, 16:26:15] Maynard: ‎image omitted
Ana: Fechado
Ana: Fechado",,,,False,11,
trigger_419_1419,"Rose: 6090
Ana: off
Rose: off
Ana: ref 100k
Ana: ref pfvr
Rose: 6020
Rose: 6030
Rose: 6047
Ana: cota 150k pfvr
Rose: 6050
Ana: Consegue baixa um pouco?
Rose: 6045
Rose: 6030
Rose: melhor que consigo no momento
Ana: fecha",,,,False,6,
trigger_420_1420,"Ana: off
Rose: off
Ana: ref 100k
Ana: ref pfvr
Rose: 6020
Rose: 6030
Rose: 6047
Ana: cota 150k pfvr
Rose: 6050
Ana: Consegue baixa um pouco?
Rose: 6045
Rose: 6030
Rose: melhor que consigo no momento
Ana: fecha
Rose: fechado",,,,False,5,
trigger_438_1438,"Rose: 1s
Rose: 6010
Rose: <PHONE>
Ana: ok
Ana: Vindo
Ana: off
Rose: off
Ana: ref
Pedro: qual volume?
Pedro: 6005
Ana: opa, 1 s
Ana: 100k
Ana: Faz 100k aqui?
Pedro: faço
Pedro: fechado?",,,,False,7,
trigger_439_1439,"Rose: 6010
Rose: <PHONE>
Ana: ok
Ana: Vindo
Ana: off
Rose: off
Ana: ref
Pedro: qual volume?
Pedro: 6005
Ana: opa, 1 s
Ana: 100k
Ana: Faz 100k aqui?
Pedro: faço
Pedro: fechado?
Ana: fecha",,,,False,5,
trigger_440_1440,"Rose: <PHONE>
Ana: ok
Ana: Vindo
Ana: off
Rose: off
Ana: ref
Pedro: qual volume?
Pedro: 6005
Ana: opa, 1 s
Ana: 100k
Ana: Faz 100k aqui?
Pedro: faço
Pedro: fechado?
Ana: fecha
Pedro: fechado",,,,False,9,
trigger_491_1491,"Ana: Já mandei o contrato.
Ana: Só aguardando a resposta.
Rose: Beleza
Ana: Pagamento liberado, tem como ver se caiu aí?
Rose: caiu
Ana: Maravilha.
Pedro: 337750eb2dec4e71be37d4ff<PHONE><PHONE>d515f1e103d67c2a5870
Pedro: 100.000
Rose: <PHONE> mais aguma demanda no momento ?
Ana: Por enquanto não.
Ana: cotação
Ana: 100k
Rose: 6170
Ana: 1s
Ana: Preço alto, se melhorar eu consigo fechar",,,,False,13,
trigger_499_1499,"Rose: <PHONE> mais aguma demanda no momento ?
Ana: Por enquanto não.
Ana: cotação
Ana: 100k
Rose: 6170
Ana: 1s
Ana: Preço alto, se melhorar eu consigo fechar
Ana: 150k
Rose: qual o ideal ?
Rose: vejo se consigo aqui
Ana: 6150
Rose: 6160
Rose: vamos ?
Ana: 1s
Ana: fecha",,,,False,11,
trigger_500_1500,"Ana: Por enquanto não.
Ana: cotação
Ana: 100k
Rose: 6170
Ana: 1s
Ana: Preço alto, se melhorar eu consigo fechar
Ana: 150k
Rose: qual o ideal ?
Rose: vejo se consigo aqui
Ana: 6150
Rose: 6160
Rose: vamos ?
Ana: 1s
Ana: fecha
Rose: fechado",,,,False,8,
trigger_516_1516,"Ana: Chegando o dinheiro 1 min
Rose: blz
‎[28/07/25, 16:27:13] Maynard: ‎image omitted
‎[28/07/25, 16:28:35] Maynard: ‎image omitted
Ana: Finalizada
Pedro: 1817f621eaa0903f334ae20a23569a<PHONE>d3ad<PHONE>74efde8b9e
Pedro: 150.000
Ana: Bom dia pessoal!
Ana: Mesa aberta?
Rose: Bom dia
Rose: Sim, mesa aberta.
Ana: Maravilha.
Ana: 100k
Ana: cotação
Rose: 6100
Ana: 1s
Ana: fecha",,,,False,5,
trigger_518_1518,"Ana: Finalizada
Pedro: 1817f621eaa0903f334ae20a23569a<PHONE>d3ad<PHONE>74efde8b9e
Pedro: 150.000
Ana: Bom dia pessoal!
Ana: Mesa aberta?
Rose: Bom dia
Rose: Sim, mesa aberta.
Ana: Maravilha.
Ana: 100k
Ana: cotação
Rose: 6100
Ana: 1s
Ana: fecha
Rose: ok
Rose: fechado",,,,False,5,
trigger_537_1537,"Rose: Chegou aqui
Pedro: 100.000
Ana: ref 100k pfvr
Rose: opa
Rose: 6020
Rose: <PHONE>
Ana: 1s
Rose: 6012
Ana: Um momento
Ana: off
Rose: off
Ana: 100k cotação, dá uma força no preço
Rose: 5980
Ana: fecha",,,,False,4,
trigger_538_1538,"Pedro: 100.000
Ana: ref 100k pfvr
Rose: opa
Rose: 6020
Rose: <PHONE>
Ana: 1s
Rose: 6012
Ana: Um momento
Ana: off
Rose: off
Ana: 100k cotação, dá uma força no preço
Rose: 5980
Ana: fecha
Rose: fechado",,,,False,6,
trigger_546_1546,"Ana: Um momento
Ana: off
Rose: off
Ana: 100k cotação, dá uma força no preço
Rose: 5980
Ana: fecha
Rose: fechado
Rose: R$ 559,800.00 // USDT 100.000
Rose: <PHONE> mais alguma demanda ?
Ana: Por enquanto não, vou puxar alguém aqui.
Rose: beleza
Ana: 100k
Ana: cotação pfvr
Rose: 5810
Ana: fecha",,,,False,4,
trigger_547_1547,"Ana: off
Rose: off
Ana: 100k cotação, dá uma força no preço
Rose: 5980
Ana: fecha
Rose: fechado
Rose: R$ 559,800.00 // USDT 100.000
Rose: <PHONE> mais alguma demanda ?
Ana: Por enquanto não, vou puxar alguém aqui.
Rose: beleza
Ana: 100k
Ana: cotação pfvr
Rose: 5810
Ana: fecha
Ana: fechado?",,,,False,5,
trigger_548_1548,"Rose: off
Ana: 100k cotação, dá uma força no preço
Rose: 5980
Ana: fecha
Rose: fechado
Rose: R$ 559,800.00 // USDT 100.000
Rose: <PHONE> mais alguma demanda ?
Ana: Por enquanto não, vou puxar alguém aqui.
Rose: beleza
Ana: 100k
Ana: cotação pfvr
Rose: 5810
Ana: fecha
Ana: fechado?
Rose: fechado",,,,False,5,
trigger_599_1599,"Ana: off
Rose: Bom dia <PHONE>
Rose: Temos um possível lote grande aqui, teria demanda ?
Rose: <PHONE>
Ana: Bom dia <PHONE>! Hoje infelizmente a mesa não deve ser aberta.
Rose: ta ok, beleza!!
Ana: Bom dia pessoal! Mesa aberta?
Rose: Bom dia
Rose: sim, mesa aberta
Ana: Ok!
Ana: 58.232,00
Ana: cotação
Rose: opa
Rose: 6087
Ana: fecha",,,,False,4,
trigger_600_1600,"Rose: Bom dia <PHONE>
Rose: Temos um possível lote grande aqui, teria demanda ?
Rose: <PHONE>
Ana: Bom dia <PHONE>! Hoje infelizmente a mesa não deve ser aberta.
Rose: ta ok, beleza!!
Ana: Bom dia pessoal! Mesa aberta?
Rose: Bom dia
Rose: sim, mesa aberta
Ana: Ok!
Ana: 58.232,00
Ana: cotação
Rose: opa
Rose: 6087
Ana: fecha
Rose: fechado",,,,False,7,
trigger_638_1638,"Rose: Recebido
Ana: Bom dia, mesa aberta?
Rose: Bom dia <PHONE>
Rose: vamos aguardar até 9:15 ta ok ?
Ana: Tudo bem.
Ana: On?
Rose: on
Rose: qual volume ?
Ana: 1 momento
Ana: 200k
Ana: me ajuda na cotação
Ana: vamo
Rose: 6412 no momento
Ana: fecha",,,,False,5,
trigger_639_1639,"Ana: Bom dia, mesa aberta?
Rose: Bom dia <PHONE>
Rose: vamos aguardar até 9:15 ta ok ?
Ana: Tudo bem.
Ana: On?
Rose: on
Rose: qual volume ?
Ana: 1 momento
Ana: 200k
Ana: me ajuda na cotação
Ana: vamo
Rose: 6412 no momento
Ana: fecha
Rose: fechado",,,,False,7,
trigger_647_1647,"Ana: 1 momento
Ana: 200k
Ana: me ajuda na cotação
Ana: vamo
Rose: 6412 no momento
Ana: fecha
Rose: fechado
Ana: 200.000 USDT = 1.128.240 BRL
Ana: 100k
Ana: Rápido pfvr
Rose: 6280
Ana: Consegue apertar?
Rose: 6230
Rose: 6215
Ana: fecha",,,,False,5,
trigger_648_1648,"Ana: 200k
Ana: me ajuda na cotação
Ana: vamo
Rose: 6412 no momento
Ana: fecha
Rose: fechado
Ana: 200.000 USDT = 1.128.240 BRL
Ana: 100k
Ana: Rápido pfvr
Rose: 6280
Ana: Consegue apertar?
Rose: 6230
Rose: 6215
Ana: fecha
Ana: fechado",,,,False,5,
trigger_649_1649,"Ana: me ajuda na cotação
Ana: vamo
Rose: 6412 no momento
Ana: fecha
Rose: fechado
Ana: 200.000 USDT = 1.128.240 BRL
Ana: 100k
Ana: Rápido pfvr
Rose: 6280
Ana: Consegue apertar?
Rose: 6230
Rose: 6215
Ana: fecha
Ana: fechado
Rose: fechado",,,,False,7,
trigger_658_1658,"Ana: Consegue apertar?
Rose: 6230
Rose: 6215
Ana: fecha
Ana: fechado
Rose: fechado
Ana: 100.000 USDT = 562.150 BRL
Ana: 150k
Ana: Rápidão pfvr
Rose: 5870
Ana: Consegue apertar um pouco?
Ana: Tá caindo
Rose: 5830
Rose: vamos ?
Ana: fecha",,,,False,7,
trigger_659_1659,"Rose: 6230
Rose: 6215
Ana: fecha
Ana: fechado
Rose: fechado
Ana: 100.000 USDT = 562.150 BRL
Ana: 150k
Ana: Rápidão pfvr
Rose: 5870
Ana: Consegue apertar um pouco?
Ana: Tá caindo
Rose: 5830
Rose: vamos ?
Ana: fecha
Rose: fechado",,,,False,7,
trigger_660_1660,"Rose: 6215
Ana: fecha
Ana: fechado
Rose: fechado
Ana: 100.000 USDT = 562.150 BRL
Ana: 150k
Ana: Rápidão pfvr
Rose: 5870
Ana: Consegue apertar um pouco?
Ana: Tá caindo
Rose: 5830
Rose: vamos ?
Ana: fecha
Rose: fechado
Ana: fechado",,,,False,10,
trigger_677_1677,"Pedro: qual volume?
Ana: Pode ser 100k
Rose: 5590
Rose: 5600
Ana: off
Rose: off
Rose: <PHONE> já consegue liquidar alguma? ajudaria aqui ‎<This message was edited>
Ana: Vou ver aqui.
Rose: blz, obrigado
Ana: 140k
Ana: cotação pfvr
Ana: rapidão
Rose: 5650
Rose: <PHONE>
Ana: fecha",,,,False,15,
trigger_678_1678,"Ana: Pode ser 100k
Rose: 5590
Rose: 5600
Ana: off
Rose: off
Rose: <PHONE> já consegue liquidar alguma? ajudaria aqui ‎<This message was edited>
Ana: Vou ver aqui.
Rose: blz, obrigado
Ana: 140k
Ana: cotação pfvr
Ana: rapidão
Rose: 5650
Rose: <PHONE>
Ana: fecha
Rose: fechado",,,,False,6,
trigger_698_1698,"Ana: Liquida a primeira pfvr
Ana: <PHONE> o resto ainda vem, liquida a primeira pfvr
Pedro: Vamos liquidar a de 200k e 140k
Pedro: ok?
Ana: Show de bola!
‎[01/08/25, 11:59:15] Maynard: ‎image omitted
Ana: Pode mandar?
Pedro: mandei agora
Ana: Obrigado!
Ana: 110k
Ana: cotação por favor, dá uma força no preço
Rose: 5680
Rose: <PHONE>
Ana: Já passei, só esperando resposta
Ana: fecha",,,,False,6,
trigger_699_1699,"Ana: <PHONE> o resto ainda vem, liquida a primeira pfvr
Pedro: Vamos liquidar a de 200k e 140k
Pedro: ok?
Ana: Show de bola!
‎[01/08/25, 11:59:15] Maynard: ‎image omitted
Ana: Pode mandar?
Pedro: mandei agora
Ana: Obrigado!
Ana: 110k
Ana: cotação por favor, dá uma força no preço
Rose: 5680
Rose: <PHONE>
Ana: Já passei, só esperando resposta
Ana: fecha
Rose: fechado",,,,False,9,
